S2,28,NF-2D Lite Cart,6230012240938,2F9000,AGE,1980,101,69,62,9,L2D,H,N,0
S2,29,B-5 Stand,1730002948884,2F9000,AGE,710,110,98,98,,A2D,,N,0
S2,30,MJ-40 ,173001471735,2F9000,AGE,7760,181,77,74,9,L2D,H,N,0
,,Conv Ram for MJ-40,1730010636527,,,,,,,,,,,
S3,1,Halon Fire Bottle,4210018325716,44CE00,Civil Engineering,325,36,30,60,22,D3B,H,N,0
S3,2,Halon Fire Bottle,4210018325716,44CE00,Civil Engineering,325,36,30,60,22,D3B,H,N,0
S3,3,Halon Fire Bottle,4210018325716,44CE00,Civil Engineering,325,36,30,60,22,D3B,H,N,0
S3,4,3000 TRL,1740007135908,23C100,Propulsion FLT,4960,154,79,99,,A2D,,N,0
,,4000 TRL,1730005544799,,,,,,,,,,,
S3,5,M32A-86A Generator,6115011587472,2F9000,AGE,5494,100,78,70,9,L2D,H,N,0
S3,6,M32A-86A Generator,6115011587472,2F9000,AGE,5494,100,78,70,9,L2D,H,N,0
S3,7,B-4 Stand Stacked,1730002948883,2F9000,AGE,1160,99,53,76,,A2D,,N,0
S3,8,MC-2A Air Compressor,4310005473741,2F9000,AGE,890,89,54,40,9,L2D,H,N,0
S3,9,H-1 Heater,4520013101881,2F9000,AGE,850,95,55,63,9,L2D,H,N,0
S3,10,H-1 Heater,4520013101881,2F9000,AGE,850,95,55,63,9,L2D,H,N,0
S3,11,H-1 Heater,4520013101881,2F9000,AGE,850,95,55,63,9,L2D,H,N,0
S3,12,H-1 Heater,4520013101881,2F9000,AGE,850,95,55,63,9,L2D,H,N,0
S3,13,H-1 Heater,4520013101881,2F9000,AGE,850,95,55,63,9,L2D,H,N,0
S3,14,Tank TRL,1740011713093,2F9000,AGE,1550,186,94,81,,A2D,,N,0
S3,15,HYD Test Stand,4920012382768,2F9000,AGE,8050,152,104,90,9,L2D,H,N,0
S3,16,MXS Platform Right,1730011636970,2F9000,AGE,2040,178,78,89,,A2D,,N,3
S3,17,H-1 Heater,4520013101881,2F9000,AGE,850,95,55,63,9,L2D,H,N,0
S3,18,HYD Test Stand,4920012382768,2F9000,AGE,8050,152,104,90,9,L2D,H,N,0
S3,19,PAO Coolant Cart,1740011530996YZ,2F9000,AGE,16260,228,94,99,9,L2D,H,N,3
S3,20,ACE A/C,41200110999402,2F9000,AGE,16250,228,94,99,9,L2D,H,N,0
S3,21,Tank TRL,1740011713093,2F9000,AGE,1550,186,94,81,,A2D,,N,3
S3,22,M32A-86A Generator,6115011587472,2F9000,AGE,5494,100,78,70,9,L2D,H,N,0
S3,23,Howard HYD Dispenser,4930012488719,2F9000,AGE,1260,109,54,38,22,L2D,H,N,0
S3,24,GOX Cart,3655005402733,2F9000,AGE,1920,121,61,42,22,L2D,H,N,0
S3,25,B-1 Stand,1730003905618,2F9000,AGE,900,188,60,82,,A2C,,N,3
S3,26,A/C B1-B100,4120011675470,234000,AGE,19820,229,92,92,9,L2D,H,N,3
S3,27,NF-2D Lite Cart,6230012240938,2F9000,AGE,1980,101,69,62,9,L2D,H,N,0
S3,28,MXS Platform Left,1730012427342,2F9000,AGE,2040,178,78,89,,A2D,,N,3
S3,29,Universal MXS Stand,1730013704268,2F9000,AGE,14760,200,101,90,9,L2D,H,N,0
S3,30,NF-2D Lite Cart,6230012240938,2F9000,AGE,1980,101,69,62,9,L2D,H,N,0
S3,31,NF-2D Lite Cart,6230012240938,2F9000,AGE,1980,101,69,62,9,L2D,H,N,0
S3,32,NF-2D Lite Cart,6230012240938,2F9000,AGE,1980,101,69,62,9,L2D,H,N,0
S3,33,3000E TRL ,1740007135908,23C100,Propulsion FLT,5748,186,61,99,9,E2D,E,N,0
,,Engine for 3000E TRL,284000F101102,,,,,,,,,,,
T3,1,463L PLT ,,41Echo100,SUP Mobility SEC,4062,88,108,96,,J3D,,N,0
